Packet,Number,Value,Answerline,Source,Answerline_Type,Source_Type,Source_Year,Creator,Author,Difficulty,Continent,Location,Language,Art/Pop,Genre,Decade,Notes
1,1,20,Wings of Desire [or Der Himmel über Berlin],,Film,,,,AP,3.5,North America,USA,English,Art,Drama,1980s,
1,1,15,,,,,,,,,,,,,,,
1,1,15,,,,,,,,,,,,,,,
1,1,15,,,,,,,,,,,,,,,
1,1,10,,,,,,,,,,,,,,,
1,1,10,,,,,,,,,,,,,,,
1,1,10,,,,,,,,,,,,,,,
1,1,10,,,,,,,,,,,,,,,
1,2,20,Secrets & Lies,,Film,,1996,,AP,5,Europe,England,English,Art,Drama,2000s,
1,2,15,,,,,,,,,,,,,,,
1,2,15,,,,,,,,,,,,,,,
1,2,15,,,,,,,,,,,,,,,
1,2,15,,,,,,,,,,,,,,,
1,2,10,,,,,,,,,,,,,,,
1,2,10,,,,,,,,,,,,,,,
1,2,10,,,,,,,,,,,,,,,
1,3,20,Sam Peckinpah [or David Samuel Peckinpah],Straw Dogs,Director,,,,AP,3.5,North America,USA,English,Art,Action,1970s,
1,3,15,,Straw Dogs,,,,,,,,,,,,,
1,3,15,,The Wild Bunch,,,,,,,,,,,,,
1,3,15,,The Wild Bunch,,,,,,,,,,,,,
1,3,10,,The Wild Bunch,,,,,,,,,,,,,
1,3,10,,Straw Dogs,,,,,,,,,,,,,
1,3,10,,The Wild Bunch,,,,,,,,,,,,,
1,3,10,,The Wild Bunch,,,,,,,,,,,,,
1,4,20,Dardenne brothers [or frères Dardenne; or Jean-Pierre and Luc Dardenne],The Child,Director,,,,AP,4.5,Europe,Belgium,French,Art,Drama,Mixed,
1,4,15,,"Two Days, One Night",,,,,,,,,,,,,
1,4,15,,The Unknown Girl,,,,,,,,,,,,,
1,4,15,,Rosetta,,,,,,,,,,,,,
1,4,15,,"Two Days, One Night",,,,,,,,,,,,,
1,4,10,,"Two Days, One Night",,,,,,,,,,,,,
1,4,10,,The Kid on the Bike,,,,,,,,,,,,,
1,4,10,,"Two Days, One Night",,,,,,,,,,,,,
1,5,20,The Killing of a X [or The Killing of a Chinese Bookie; or The Killing of a Sacred Deer],The Killing of a Chinese Bookie,Misc,,,,AP,2.5,Mixed,Mixed,English,Art,Mixed,2000s,
1,5,15,,The Killing of a Sacred Deer,,,,,,,,,,,,,
1,5,15,,The Killing of a Chinese Bookie,,,,,,,,,,,,,
1,5,15,,The Killing of a Chinese Bookie,,,,,,,,,,,,,
1,5,10,,The Killing of a Sacred Deer,,,,,,,,,,,,,
1,5,10,,The Killing of a Sacred Deer,,,,,,,,,,,,,
1,5,10,,The Killing of a Sacred Deer,,,,,,,,,,,,,
1,5,10,,The Killing of a Sacred Deer,,,,,,,,,,,,,
1,6,20,Minority Report,,Film,,,,AP,2.5,North America,USA,English,Pop,Scifi,2000s,
1,6,15,,,,,,,,,,,,,,,
1,6,15,,,,,,,,,,,,,,,
1,6,15,,,,,,,,,,,,,,,
1,6,10,,,,,,,,,,,,,,,
1,6,10,,,,,,,,,,,,,,,
